ID,newlyConst,balcony,totalRent,yearConstructed,noParkSpaces,hasKitchen,livingSpace,lift,typeOfFlat,floor,garden,regio2,condition,lastRefurbish,energyEfficiencyClass
394,FALSE,FALSE,885,1994,1,FALSE,71.87,FALSE,NA,1,FALSE,Neuss_Rhein_Kreis,good,NO_INFORMATION,NO_INFORMATION
395,FALSE,FALSE,424.5,1954,0,FALSE,38,FALSE,apartment,0,TRUE,Aachen,good,Over5Years,NO_INFORMATION
396,FALSE,FALSE,600,1997,1,FALSE,54,FALSE,roof_storey,2,FALSE,Euskirchen_Kreis,average,Last5Years,D/E/F/G/H
397,FALSE,TRUE,NA,1954,1,FALSE,65,FALSE,apartment,2,TRUE,Gelsenkirchen,good,NO_INFORMATION,NO_INFORMATION
398,FALSE,TRUE,2375,2016,2,FALSE,150,TRUE,maisonette,3,FALSE,Bochum,good,Last5Years,NO_INFORMATION
399,FALSE,TRUE,850,1974,NA,TRUE,50,TRUE,apartment,5,FALSE,Düsseldorf,average,NO_INFORMATION,NO_INFORMATION
400,FALSE,TRUE,674.65,1964,1,FALSE,56.39,FALSE,apartment,1,FALSE,Düsseldorf,average,NO_INFORMATION,D/E/F/G/H
401,TRUE,TRUE,1305,2020,2,TRUE,94,TRUE,apartment,1,FALSE,Aachen_Kreis,good,NO_INFORMATION,Aplus/A/B/C
402,FALSE,TRUE,1325,2015,1,FALSE,105,FALSE,ground_floor,0,TRUE,Neuss_Rhein_Kreis,good,NO_INFORMATION,NO_INFORMATION
403,FALSE,TRUE,1650,2018,1,FALSE,118,TRUE,apartment,1,FALSE,Neuss_Rhein_Kreis,good,NO_INFORMATION,Aplus/A/B/C
404,FALSE,TRUE,770,1971,NA,FALSE,53,FALSE,NA,2,FALSE,Düsseldorf,average,NO_INFORMATION,D/E/F/G/H
405,FALSE,TRUE,NA,1958,NA,FALSE,84.75,FALSE,roof_storey,2,FALSE,Märkischer_Kreis,average,NO_INFORMATION,Aplus/A/B/C
406,FALSE,FALSE,490,1949,NA,FALSE,69.4,FALSE,ground_floor,0,TRUE,Ennepe_Ruhr_Kreis,average,NO_INFORMATION,D/E/F/G/H
407,TRUE,TRUE,1080,2020,1,TRUE,65.46,TRUE,penthouse,2,FALSE,Rhein_Sieg_Kreis,good,NO_INFORMATION,NO_INFORMATION
408,TRUE,TRUE,2160,2019,2,FALSE,130,TRUE,apartment,1,FALSE,Duisburg,good,NO_INFORMATION,NO_INFORMATION
409,FALSE,TRUE,275,1994,NA,FALSE,20.27,FALSE,NA,1,FALSE,Dortmund,average,NO_INFORMATION,D/E/F/G/H
410,FALSE,TRUE,624.25,1982,1,FALSE,78.3,TRUE,apartment,4,FALSE,Gelsenkirchen,NO_INFORMATION,NO_INFORMATION,D/E/F/G/H
